City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Brae,12,GB,1584476031,61,60.4,-1.35,41.0,27.51
San Quintín,90,MX,1584476034,56,30.48,-115.95,60.17,6.76
Quatre Cocos,20,MU,1584476035,94,-20.21,57.76,75.2,2.24
Kota Bharu,20,MY,1584476037,88,6.13,102.24,78.8,2.24
Nome,90,US,1584476039,92,64.5,-165.41,27.0,16.11
Nago,75,JP,1584476041,68,26.59,127.98,64.4,3.36
Harar,89,ET,1584476042,64,9.31,42.13,68.09,5.46
Ostrovnoy,4,RU,1584476044,92,68.05,39.51,19.67,15.28
Jaciara,37,BR,1584476047,85,-15.97,-54.97,80.51,3.69
Torbay,20,CA,1584476044,63,47.67,-52.73,28.99,20.8
Najrān,0,SA,1584476051,31,17.49,44.13,77.0,4.83
Mareeba,75,AU,1584476053,78,-17.0,145.43,77.0,10.29
Arman',100,RU,1584476056,94,59.7,150.17,11.03,9.35
Tura,0,IN,1584476057,43,25.52,90.22,66.29,1.97
Erzin,75,TR,1584476059,100,36.96,36.2,51.8,8.05
Villa del Rosario,40,CO,1584476060,58,7.83,-72.47,84.2,9.17
Airai,0,TL,1584476062,82,-8.93,125.41,63.77,4.32
Athabasca,100,CA,1584476063,83,54.72,-113.29,20.57,4.99
Mumbwa,100,ZM,1584476065,93,-14.98,27.06,64.67,3.91
Denpasar,20,ID,1584476066,88,-8.65,115.22,80.6,2.24
Baykit,100,RU,1584476068,91,61.67,96.37,-0.67,2.3
Grindavik,75,IS,1584476073,86,63.84,-22.43,32.0,24.16
Dunedin,0,NZ,1584475852,75,-45.87,170.5,46.85,4.12
Saint-Augustin,100,CA,1584476077,80,51.23,-58.65,27.41,23.87
Verkhnyaya Inta,74,RU,1584476078,90,65.98,60.31,17.15,19.17
Acaraú,100,BR,1584476080,86,-2.89,-40.12,77.81,5.37
Mangit,95,UZ,1584476081,47,40.6,70.96,55.4,4.7
Huilong,0,CN,1584476083,38,31.81,121.66,62.01,5.82
Narasimharājapura,0,IN,1584476085,68,13.62,75.52,68.27,2.66
Pochutla,40,MX,1584476087,49,15.74,-96.47,89.6,13.87
Panjāb,13,AF,1584476088,98,34.39,67.02,17.33,2.84
Nouadhibou,88,MR,1584476089,64,20.93,-17.03,68.0,23.04
Auki,0,SB,1584476067,74,-8.77,160.7,83.75,3.76
Libertador General San Martín,83,AR,1584476094,68,-23.81,-64.79,75.83,3.11
Tadine,98,NC,1584476095,74,-21.55,167.88,76.91,13.87
Syedove,0,UA,1584476097,59,47.08,38.16,43.07,14.09
Arlit,15,NE,1584476100,7,18.74,7.39,82.31,12.17
Lodja,100,CD,1584476101,99,-3.48,23.43,67.73,0.47
Pudozh,95,RU,1584476104,78,61.81,36.53,30.29,12.82
Teshie,100,GH,1584476108,79,5.58,-0.11,84.2,16.11
Ust-Nera,62,RU,1584476110,100,64.57,143.2,-24.79,1.61
Ancud,40,CL,1584476112,63,-41.87,-73.82,62.6,5.82
Makakilo City,90,US,1584475997,88,21.35,-158.09,77.0,9.17
Kozhva,59,RU,1584476117,90,65.11,57.05,17.33,8.25
Pizarro,2,CO,1584476118,79,4.95,-77.37,79.97,9.33
Jiaocheng,98,CN,1584476121,94,24.68,116.14,60.89,1.32
Lagoa,0,PT,1584476122,79,39.05,-27.98,62.69,15.97
Norman Wells,90,CA,1584476124,85,65.28,-126.83,21.2,4.29
Nanortalik,0,GL,1584476126,57,60.14,-45.24,19.85,14.27
Itarema,100,BR,1584476128,86,-2.92,-39.92,77.81,5.37
Okha,69,RU,1584476130,96,53.57,142.95,11.21,6.35
Glace Bay,90,CA,1584476011,84,46.2,-59.96,35.01,16.11
Ondjiva,100,AO,1584475865,86,-17.07,15.73,70.07,7.54
Taksimo,30,RU,1584476137,81,56.34,114.88,11.21,6.51
Buin,0,CL,1584476139,29,-33.73,-70.75,80.6,6.93
Flinders,0,AU,1584476140,93,-34.58,150.86,57.2,8.05
Seoul,1,KR,1584476018,64,37.57,126.98,35.6,1.12
Terney,0,RU,1584476144,74,45.05,136.61,20.93,7.99
Rio Grande,40,BR,1584476027,54,-32.03,-52.1,84.2,13.87
Mogadishu,8,SO,1584476014,80,2.04,45.34,83.21,23.4
Saint-Pierre,90,RE,1584476149,94,-21.34,55.48,75.2,5.82
Nobeoka,97,JP,1584476152,87,32.58,131.67,41.63,5.28
Ocós,75,GT,1584476155,46,14.51,-92.19,93.2,9.17
Santander,0,ES,1584476157,87,43.46,-3.8,54.0,4.7
Westport,75,US,1584476159,81,41.14,-73.36,54.0,4.7
Varkala,40,IN,1584476161,48,8.73,76.71,86.0,5.82
Kuandian,39,CN,1584476162,65,40.73,124.78,35.33,6.71
Sørland,75,NO,1584476164,71,67.67,12.69,39.2,6.93
Srednekolymsk,97,RU,1584476090,96,67.45,153.68,-11.29,8.37
Arrondissement d'Issoudun,1,FR,1584476169,82,47.0,1.83,55.4,6.93
Tigil',100,RU,1584476170,87,57.8,158.67,8.33,2.64
Tete,40,MZ,1584476172,61,-16.16,33.59,80.6,6.93
Caraballeda,16,VE,1584476173,73,10.61,-66.85,79.0,9.17
Rundu,100,NA,1584476175,69,-17.93,19.77,75.2,12.75
Severodvinsk,100,RU,1584476176,59,64.56,39.83,33.8,8.95
Geraldton,90,AU,1584476178,60,-28.77,114.6,69.8,10.29
Aksu,29,CN,1584476179,26,41.12,80.26,46.31,7.56
Normandin,90,CA,1584476182,80,48.83,-72.53,37.0,13.87
Newport,90,GB,1584476039,93,51.59,-3.0,54.0,17.22
Mahibadhoo,67,MV,1584476190,78,3.78,72.97,84.11,16.71
Lata,20,PT,1584476157,82,40.16,-8.33,61.0,5.82
Tiruchchendur,11,IN,1584476194,78,8.48,78.12,80.69,12.53
Darhan,93,MN,1584476199,62,49.49,105.92,24.53,12.59
Fairbanks,1,US,1584476201,73,64.84,-147.72,34.0,6.93
Coihueco,0,CL,1584476148,32,-36.62,-71.83,80.6,10.29
Tilichiki,100,RU,1584476205,85,60.47,166.1,13.01,4.25
Okoneshnikovo,96,RU,1584476207,86,54.84,75.08,30.47,18.39
Korla,45,CN,1584476125,52,41.76,86.15,48.0,5.99
Noumea,28,NC,1584475936,88,-22.28,166.46,69.8,2.24
Río Gallegos,45,AR,1584476212,19,-51.62,-69.22,69.8,13.87
Langsa,100,ID,1584476214,88,4.47,97.97,75.29,2.35
Los Llanos de Aridane,75,ES,1584476218,72,28.66,-17.92,62.6,19.46
Province of Trapani,75,IT,1584476221,77,37.83,12.67,59.0,2.24
Souillac,20,MU,1584476120,94,-20.52,57.52,75.2,2.24
Bengkulu,88,ID,1584476088,93,-3.8,102.27,73.49,3.98
Bilibino,100,RU,1584476225,96,68.05,166.44,20.75,4.97
Mastic,90,US,1584476226,81,40.8,-72.84,53.01,3.36
Kungurtug,0,RU,1584476228,80,50.6,97.52,5.63,3.56
Shubarshi,100,KZ,1584476230,78,48.59,57.19,31.73,1.41
Nizhniy Kuranakh,86,RU,1584476233,97,58.84,125.49,11.75,1.19
Belyy Yar,100,RU,1584476234,85,53.6,91.39,24.8,2.24
San Patricio,40,MX,1584476235,74,19.22,-104.7,87.8,11.41
Cabra,30,ES,1584476237,55,37.47,-4.44,60.8,11.41
Rawson,0,AR,1584476238,66,-43.3,-65.1,61.07,11.63
Annaka,66,JP,1584476240,88,36.32,138.9,36.0,1.01
Leer,0,SS,1584476243,33,8.3,30.14,81.59,3.58
Bend,1,US,1584476127,52,44.06,-121.32,45.0,7.74
Joshīmath,0,IN,1584476247,38,30.57,79.57,33.35,9.4
Ulaangom,100,MN,1584476137,95,49.98,92.07,10.85,3.15
Ulaanbaatar,40,MN,1584476222,73,47.91,106.88,24.8,20.13
Bendigo,33,AU,1584476253,67,-36.77,144.28,59.0,3.91
Bétaré Oya,100,CM,1584476255,26,5.6,14.08,75.11,2.75
Luebo,100,CD,1584476257,98,-5.35,21.42,69.35,2.48
Verāval,0,IN,1584476259,51,20.9,70.37,70.07,5.12
Bilma,0,NE,1584476261,8,18.69,12.92,75.83,7.61
Östersund,75,SE,1584476262,82,63.18,14.64,34.0,12.75
Huarmey,42,PE,1584476265,48,-10.07,-78.15,82.31,8.43
Japura,17,ID,1584476267,97,-0.32,102.35,72.77,0.31
Husavik,90,IS,1584476155,95,66.04,-17.34,32.0,28.86
Mitchell,90,US,1584476270,60,43.71,-98.03,42.8,16.11
Codrington,100,AU,1584476127,57,-38.27,141.97,67.73,10.87
Resistencia,75,AR,1584476273,39,-27.46,-58.98,98.01,9.17
Cherskiy,100,RU,1584476275,95,68.75,161.3,3.65,16.24
Muros,0,ES,1584476168,76,42.78,-9.06,62.01,4.7
Richards Bay,100,ZA,1584476278,69,-28.78,32.04,72.77,19.13
Fes,40,MA,1584476280,66,34.04,-5.0,51.8,4.7
Iquique,23,CL,1584476282,53,-20.22,-70.14,77.0,18.34
Poya,0,NC,1584476284,78,-21.35,165.15,77.99,16.55
Soyo,100,AO,1584476285,88,-6.13,12.37,78.35,5.12
Kiunga,100,PG,1584476287,99,-6.12,141.29,72.95,2.13
Arrondissement de Blois,5,FR,1584476288,82,47.58,1.33,57.2,3.98
Dorāha,1,IN,1584476290,68,30.82,76.02,59.27,3.71
Yatou,0,CN,1584476291,69,37.15,122.38,45.95,10.56
Uinskoye,91,RU,1584476293,96,56.88,56.58,27.77,6.58
Lukovit,5,BG,1584476297,74,43.2,24.17,37.4,2.24
Mangai,100,CD,1584476298,95,-4.05,19.53,69.17,0.96
Ocampo,40,MX,1584476300,28,21.65,-101.5,72.77,7.18
Ucluelet,75,CA,1584476303,45,48.93,-125.55,52.0,3.36
Martapura,30,ID,1584476305,95,-3.42,114.85,72.59,1.48
Tabou,90,CI,1584476306,93,4.42,-7.35,78.17,4.23
Champasak,63,LA,1584476308,60,14.75,106.0,73.49,3.62
Srandakan,86,ID,1584476311,92,-7.94,110.25,74.39,4.54
Isangel,75,VU,1584476315,83,-19.55,169.27,80.6,16.49
Xuanzhou,0,CN,1584476317,80,30.95,118.76,54.05,4.56
Ghanzi,67,BW,1584476319,54,-21.57,21.78,71.33,10.94
Havelock,90,US,1584476320,87,34.88,-76.9,57.99,6.93
Biak,10,ID,1584476322,74,-0.91,122.88,80.51,4.92
Helong,0,CN,1584476323,83,42.54,129.0,22.73,7.0
Pandan,4,PH,1584476325,79,14.05,124.17,77.81,12.28
Manaure,20,CO,1584476326,58,11.78,-72.44,86.0,16.11
Batemans Bay,0,AU,1584476126,100,-35.72,150.18,55.99,4.52
Mount Gambier,100,AU,1584476137,33,-37.83,140.77,71.6,14.99
Grosse Pointe Park,40,US,1584476332,39,42.38,-82.94,52.0,6.93
Dwārka,0,IN,1584476333,58,22.24,68.97,78.53,8.23
Nānākuli,90,US,1584476335,100,21.39,-158.15,78.8,13.87
Riviere-au-Renard,90,CA,1584476339,74,49.0,-64.4,28.4,12.75
Paphos,40,CY,1584476341,66,34.77,32.42,51.8,5.82
Ponta do Sol,40,PT,1584476344,67,32.67,-17.1,59.0,17.22
Gizo Government Station,18,SB,1584476345,85,-8.1,156.84,79.07,5.1
Batagay-Alyta,100,RU,1584476346,96,67.8,130.41,-12.19,5.35
Kontagora,100,NG,1584476349,14,10.4,5.47,84.11,1.72
Aykhal,0,RU,1584476351,75,66.0,111.5,-16.6,4.47
Alyangula,11,AU,1584476352,100,-13.85,136.42,73.4,3.87
Assiniboia,100,CA,1584476355,60,49.63,-105.98,31.91,4.45
Savé,91,BJ,1584476356,64,8.04,2.49,86.45,11.61
Maceió,75,BR,1584476279,74,-9.67,-35.74,82.4,9.17
Leh,100,IN,1584476363,67,34.17,77.58,10.67,3.56
Russell,90,US,1584476103,61,32.35,-85.2,78.01,3.36
Kumul,33,CN,1584476369,25,42.8,93.45,41.99,1.68
Catuday,24,PH,1584476371,80,16.29,119.81,77.45,14.07
Qasigiannguit,75,GL,1584476372,49,68.82,-51.19,3.2,21.92
Santa Fe,100,AR,1584476374,93,-31.63,-60.7,72.0,5.99
Palu,4,ID,1584476376,94,-0.89,119.87,64.67,2.93
Sechura,3,PE,1584476156,85,-5.56,-80.82,76.37,15.23
Kassala,100,SD,1584476379,15,15.45,36.4,74.75,7.9
Vikhorevka,77,RU,1584476380,61,56.12,101.16,12.2,6.71
Mednogorsk,2,RU,1584476382,96,51.41,57.59,19.49,5.91
Palembang,83,ID,1584476384,98,-2.92,104.75,74.03,2.44
Bogotol,100,RU,1584476387,79,56.21,89.53,28.85,17.9
Ballina,40,AU,1584476388,93,-28.87,153.57,60.8,8.05
Aitape,53,PG,1584476391,81,-3.14,142.35,80.33,8.43
Magadan,99,RU,1584476103,95,59.57,150.8,5.81,3.29
Taunggyi,0,MM,1584476396,48,20.78,97.03,59.63,4.97
Margate,67,GB,1584476400,87,51.38,1.39,48.99,10.29
Kirakira,85,SB,1584476402,82,-10.45,161.92,79.25,2.35
Bainbridge Island,1,US,1584476404,70,47.63,-122.52,53.01,5.82
Araguari,40,BR,1584476165,73,-18.65,-48.19,75.2,6.93
São Paulo de Olivença,100,BR,1584476407,90,-3.38,-68.87,83.21,2.44
Cairns,75,AU,1584476410,78,-16.92,145.77,77.0,10.29
San Ignacio,40,BZ,1584476411,43,17.16,-89.07,91.4,6.93
Bara,97,NG,1584476413,7,10.37,10.73,80.15,6.85
Touros,20,BR,1584476414,66,-5.2,-35.46,86.0,14.99
Dawei,100,MM,1584476416,75,14.08,98.2,80.51,3.67
Ambon City,32,ID,1584476417,73,-3.7,128.18,81.41,5.06
Misratah,88,LY,1584476210,76,32.38,15.09,58.91,24.4
Sladkovo,22,RU,1584476420,86,55.53,70.34,26.15,16.73
Deputatsky,62,RU,1584476364,88,69.3,139.9,-18.85,7.27
Kotido,99,UG,1584476425,63,2.98,34.13,74.75,6.91
Ust-Kuyga,100,RU,1584476427,97,70.02,135.6,-23.17,2.98
Mahon,20,ES,1584476429,87,39.89,4.27,57.2,11.41
Bjørnevatn,75,NO,1584476431,85,69.67,29.98,24.8,11.41
Buraidah,75,SA,1584476390,69,26.33,43.98,75.2,12.75
Vigia,75,BR,1584476434,88,-0.86,-48.14,78.8,14.99
Harsīn,20,IR,1584476437,44,34.27,47.59,57.2,19.46
Al Bardīyah,0,LY,1584476439,58,31.76,25.09,57.65,10.92
Vila Velha,40,BR,1584476434,78,-20.33,-40.29,84.99,9.17
Yaring,45,TH,1584476443,82,6.87,101.37,80.51,14.27
Sanary-sur-Mer,0,FR,1584476444,81,43.12,5.8,57.0,1.12
Alegrete,0,BR,1584476446,45,-29.78,-55.79,88.79,3.53
Salalah,75,OM,1584476447,69,17.02,54.09,78.8,6.93
Dongying,0,CN,1584476450,23,37.46,118.49,56.57,11.61
Machalí,0,CL,1584476452,31,-34.18,-70.67,78.8,10.29
Verkhnetulomskiy,75,RU,1584476454,79,68.61,31.8,28.4,6.71
Katherine,42,AU,1584476494,78,-14.47,132.27,73.4,3.36
Krasnoarmeysk,0,RU,1584476496,39,51.02,45.7,41.0,7.0
Bereda,94,ES,1584476428,71,43.27,-7.54,57.2,1.12
Kimbe,96,PG,1584476397,94,-5.55,150.14,74.75,2.44
Fushun,72,CN,1584476376,47,41.86,123.92,35.6,6.71
Tosno,75,RU,1584476502,74,59.54,30.88,37.4,11.18
Eyl,46,SO,1584476505,75,7.98,49.82,80.51,18.12
Bet Shemesh,75,IL,1584476507,82,31.75,34.99,55.4,10.29
Hvolsvollur,91,IS,1584476366,91,63.75,-20.22,21.99,1.01
Nur,60,PL,1584476512,74,52.67,22.32,42.71,4.34
Taree,37,AU,1584476514,100,-31.9,152.47,60.01,5.82
Bowen,1,AU,1584476435,83,-20.02,148.23,77.0,10.29
Nazca,50,PE,1584476517,55,-14.83,-74.95,80.51,14.67
Nabire,100,ID,1584476519,99,-3.37,135.48,71.87,0.76
Tarbagatay,75,RU,1584476520,46,51.48,107.36,30.2,20.13
Vanimo,81,PG,1584476397,80,-2.67,141.3,81.77,10.29
Simao,0,CN,1584476430,40,22.79,100.97,59.81,3.83
Fare,91,PF,1584476526,71,-16.7,-151.02,83.03,8.52
Jalu,0,LY,1584476528,28,29.03,21.55,62.87,16.24
Hobyo,30,SO,1584476531,76,5.35,48.53,79.07,14.36
Kibre Mengist,90,ET,1584476532,91,5.88,38.98,61.61,3.49
Ventspils,75,LV,1584476534,100,57.39,21.56,39.2,12.75
Chabahar,0,IR,1584476536,41,25.29,60.64,69.35,5.17
Conakry,0,GN,1584476538,66,9.54,-13.68,84.2,6.93
Esim,100,GH,1584476541,84,4.87,-2.24,80.69,6.85
Gornopravdinsk,100,RU,1584476523,92,60.05,69.9,27.05,12.44
Cham,90,CH,1584476546,66,47.18,8.46,54.0,3.36
Quang Ngai,25,VN,1584476548,86,15.12,108.8,72.77,6.98
Port Hardy,20,CA,1584476550,75,50.7,-127.42,44.6,11.41
Brusturi,66,RO,1584476552,56,47.28,26.38,46.99,10.29
Atar,100,MR,1584476554,23,20.52,-13.05,70.07,9.13
Zheleznodorozhnyy,0,RU,1584476556,55,55.75,38.0,39.2,4.47
Kupang,0,ID,1584476557,75,-10.17,123.58,80.87,7.72
Vao,26,NC,1584476560,76,-22.67,167.48,76.55,18.81
Lavumisa,100,SZ,1584476563,81,-27.31,31.89,61.43,3.11
Farafangana,48,MG,1584476565,80,-22.82,47.83,78.53,8.23
Salinas,40,US,1584476354,62,36.68,-121.66,57.0,10.29
Chapais,75,CA,1584476569,79,49.78,-74.85,26.6,10.29
Yenagoa,85,NG,1584476571,86,4.92,6.26,80.15,6.82
Saint Anthony,1,US,1584476575,41,45.02,-93.22,45.0,6.93
Reconquista,100,AR,1584476576,52,-29.15,-59.65,87.53,2.33
Gachsaran,40,IR,1584476578,87,30.36,50.8,57.2,6.13
Guozhen,44,CN,1584476580,20,34.37,107.36,49.55,4.61
Faanui,100,PF,1584476581,73,-16.48,-151.75,82.67,8.1
Xichang,99,CN,1584476423,92,27.9,102.26,36.23,3.02
Torres,43,BR,1584476586,78,-29.34,-49.73,73.85,14.41
Murmashi,75,RU,1584476590,79,68.82,32.81,28.4,6.71
Waverly,1,US,1584476592,33,42.74,-84.62,50.0,9.17
Luganville,75,VU,1584476594,100,-15.53,167.17,73.4,3.36
Wanning,100,CN,1584476595,81,18.8,110.4,72.95,5.23
Tanout,78,NE,1584476597,6,14.97,8.89,78.35,9.75
Muswellbrook,1,AU,1584476599,88,-32.27,150.9,55.0,1.57
Jablah,100,SY,1584476600,86,35.36,35.93,49.01,2.17
Boueni,71,YT,1584476602,78,-12.9,45.08,82.4,5.82
Sioux Lookout,1,CA,1584476554,35,50.1,-91.92,24.8,18.34
Bossier City,90,US,1584476392,64,32.52,-93.73,78.8,9.17
Tamisan,90,PH,1584476610,77,6.84,126.3,78.53,12.44
Liberal,90,US,1584476612,100,37.04,-100.92,44.6,12.75
Esterhazy,100,CA,1584476614,92,50.65,-102.08,23.27,7.38
Mattru,0,SL,1584476615,78,7.62,-11.83,80.15,5.82
Kapit,83,MY,1584476617,99,2.02,112.93,71.33,0.49
Jiuquan,0,CN,1584476619,31,39.74,98.52,31.73,0.74
Abéché,100,TD,1584476621,11,13.83,20.83,79.25,14.74
Tahoua,0,NE,1584476623,5,14.89,5.27,93.2,4.7
Khani,90,GE,1584476624,93,41.96,42.96,37.4,3.36
Maragogi,0,BR,1584476626,75,-9.01,-35.22,83.57,12.8
Virginia Beach,75,US,1584476607,55,36.85,-75.98,69.8,5.82
Moree,40,AU,1584476630,82,-29.47,149.85,59.0,6.93
Manoel Urbano,100,BR,1584476632,95,-8.84,-69.26,76.19,4.99
Urubichá,85,BO,1584476633,52,-15.38,-62.95,88.79,4.97
Iberia,90,US,1584476635,88,29.95,-91.75,80.6,8.05
Yabēlo,99,ET,1584476636,60,4.88,38.08,69.17,4.7
Vysokogornyy,100,RU,1584476637,96,50.12,139.15,13.19,1.83
Barcelona,20,ES,1584476476,82,41.39,2.16,59.0,8.05
